kindNum,sexCd,weight,noticeDays,processState
108,M,17,10,1
114,F,0.9,10,1
114,M,1.6,10,1
114,F,1.2,10,1
114,M,2,10,1
114,F,5,10,1
114,F,5,10,1
114,F,3.5,10,1
114,F,5,10,1
89,M,3,10,1
114,F,10,10,0
114,F,12,10,0
114,F,5,10,1
114,F,8,10,0
114,F,10,10,0
114,F,18.45,10,0
114,M,6.75,10,0
114,F,6.02,10,0
114,F,9.45,10,0
114,F,2.8,10,0
114,F,8.9,10,0
114,F,3.3,10,0
114,M,2,10,1
69,M,27,9,1
114,F,10,10,0
114,F,2,10,0
114,F,1.4,10,0
114,F,1.4,10,0
114,F,1.3,10,0
114,F,9.2,10,0
114,M,18,10,0
114,M,9.1,10,0
26,F,22,10,1
114,M,8,10,0
114,F,0.1,10,0
114,M,0.1,10,0
114,F,7.4,10,0
114,F,4.8,10,0
114,F,6,10,0
22,F,9.8,10,1
128,F,2,10,1
114,M,3,10,0
114,F,5.3,10,0
114,M,5.4,10,0
114,F,18,10,0
114,M,20,10,0
114,M,4,10,1
114,M,4,10,1
114,M,4,10,0
114,M,4,10,0
114,M,4,10,1
114,F,4,10,1
114,M,4,10,0
114,F,4,10,0
114,F,6,10,0
114,F,5,10,0
114,F,5,10,0
114,M,6,10,0
114,M,4,10,0
114,M,4,10,0
114,F,4,10,0
114,F,2,14,0
114,F,2,14,0
114,F,4,14,0
114,M,2,14,0
114,M,2,14,0
114,F,2,14,0
114,F,2,14,0
128,M,4,14,1
114,M,6,14,0
114,F,1.5,10,1
114,F,1.6,10,1
125,F,10,7,1
114,M,25,7,1
114,M,3,10,0
114,F,3,10,0
114,F,7,10,0
108,M,7,10,1
50,F,5,10,1
108,M,8,10,1
114,M,4.3,10,1
89,F,3,10,1
114,M,3,10,1
128,M,3,10,1
128,M,3,10,0
114,M,5,10,0
114,F,6,10,0
114,M,2,10,0
114,F,6,10,0
114,F,6,10,0
20,M,18,7,0
114,F,13,7,1
114,M,5.9,7,0
114,M,5.3,7,0
114,F,5.6,7,0
114,F,15,10,0
72,M,3,10,1
128,M,7,10,1
114,F,4,10,1
128,M,4.5,10,1
114,M,6,10,1
89,M,2.3,10,1
114,F,6,10,0
72,F,3,10,1
114,M,4.77,10,0
114,F,4.76,10,0
114,F,15,10,0
114,M,3,10,1
89,M,5.5,10,1
114,M,8.5,10,1
124,M,6,11,1
114,F,20,10,1
67,F,4,10,1
67,M,16,10,1
128,F,3.6,10,1
114,F,3.7,10,1
114,M,15,10,0
128,F,5.1,10,0
72,M,3.2,10,0
114,F,8,10,0
114,F,8,10,0
89,F,8.5,10,1
89,M,3,10,1
114,M,4,10,1
114,F,17,10,0
114,F,13.5,10,1
128,F,4.6,10,1
89,M,3.5,10,1
114,F,1,10,0
114,M,3.6,10,0
114,F,11.48,10,0
114,M,5,11,0
67,F,17,14,0
114,M,4,14,0
114,M,5,10,0
114,M,8,10,0
114,F,3,7,0
114,F,6,10,0
114,F,19.8,10,0
114,M,2,10,0
114,M,2.7,10,0
114,M,2.5,10,0
114,M,5.2,10,0
114,F,5.7,10,0
114,F,5.2,10,0
114,M,5.1,10,0
114,M,5.2,10,0
114,M,22,10,0
114,F,13,10,0
114,F,11,10,0
114,M,17,10,0
57,M,18,10,1
114,M,8.1,10,0
114,F,1.8,10,0
114,F,2.3,10,0
114,F,2.1,10,0
114,F,2.2,10,0
114,M,2,10,0
114,M,2.1,10,0
114,M,1.3,10,0
114,F,10.6,10,0
114,M,10,10,1
114,M,15,10,1
103,M,18,10,1
114,M,7,10,1
114,M,7,10,1
108,F,8,10,1
114,F,3,10,0
114,M,1,10,0
114,F,1,10,0
114,F,1,10,0
114,F,1,10,0
114,M,1,10,0
114,F,1,10,0
114,M,1,10,0
67,M,25,10,0
114,F,5.3,10,0
114,F,5.4,10,0
114,M,7.2,10,0
114,M,4.4,10,1
69,M,25,10,0
114,M,11.27,10,0
114,M,9.25,10,0
114,M,20,10,0
114,M,34,10,0
114,M,11,10,1
32,M,4.4,10,0
113,M,2.1,7,1
114,M,4.5,10,0
114,F,6,10,0
128,F,2,10,1
114,M,8.2,10,0
101,M,3.6,10,1
114,F,3.4,10,0
114,F,6.7,10,0
114,M,5.8,10,0
77,M,2.3,10,0
114,M,4.5,11,1
87,M,4.2,11,1
114,F,1.7,11,1
114,M,1.6,11,1
32,F,2,11,0
114,Q,6,11,1
114,Q,4.5,11,1
114,F,8,11,0
114,M,4,11,1
114,M,4,11,1
114,F,13,11,1
114,F,4,11,1
114,F,3.5,11,1
114,F,22,11,0
114,M,0.5,11,1
114,F,7,11,0
114,M,10,11,0
114,M,15,11,0
114,M,20,11,0
114,M,3.5,14,0
114,F,2.5,11,1
114,M,2.5,11,1
114,M,2.5,11,1
128,M,7,11,1
72,M,3.2,11,1
67,M,20,11,0
67,M,20,7,0
54,F,20,7,0
67,F,3,7,0
67,F,3,7,0
67,F,3,7,0
67,F,3,7,0
67,M,14,7,1
114,F,2,11,0
114,F,3,11,0
114,M,1,11,1
50,F,4,11,1
135,F,12,11,1
125,M,7,11,0
114,M,4,11,0
114,M,7,11,0
114,F,12,11,0
67,M,15,11,0
89,M,5,11,1
124,M,5,11,0
114,F,11.5,11,1
114,M,17.5,11,0
205,M,15,7,1
114,F,9,11,0
114,M,3,11,0
67,M,15,11,1
114,M,11.32,11,0
114,F,15.75,11,0
114,M,7.83,11,0
72,M,3.58,11,1
114,F,13,11,0
114,F,10,11,0
72,F,4.6,12,0
128,M,4,11,0
114,M,7,11,1
114,M,8,11,1
114,F,2.4,11,0
114,F,6.5,11,1
114,F,7.2,11,1
72,M,3.7,11,1
114,F,4.9,11,1
114,M,7.2,11,1
114,F,8.2,11,1
90,M,5.4,11,1
101,F,3.2,7,1
114,M,1.5,11,1
114,M,1.3,11,1
114,F,1,11,1
114,M,1.3,11,1
114,F,1.5,11,1
114,M,1.7,11,1
89,M,3,11,1
114,M,8,11,0
114,F,10,11,0
72,F,3.5,11,1
114,F,2.5,11,1
114,F,1.8,11,0
114,M,2.3,11,1
114,M,2.1,11,1
69,M,27,11,1
27,F,20,11,0
114,M,1.24,11,0
114,M,1.66,11,0
114,F,1.48,11,0
114,M,1.83,11,0
114,F,2.54,11,0
108,M,4.5,11,1
89,M,3.4,11,1
114,M,21.32,10,0
114,M,2.52,10,1
114,M,2.32,10,1
72,F,3.7,7,1
114,F,4,10,0
128,F,3.5,10,0
72,M,4,11,1
114,F,2,11,0
114,M,7,11,0
114,F,9,11,0
114,F,6,11,0
114,F,6,11,0
51,M,23,11,1
114,M,1.9,11,1
114,M,30,11,1
114,M,1.2,11,1
101,F,4,11,1
72,M,5,11,1
67,M,12.5,11,0
89,M,3.4,11,1
89,M,6.9,11,0
128,M,5.3,7,1
67,M,19,11,0
114,F,2.4,11,0
114,M,3.2,11,0
114,F,4,12,0
114,Q,12,12,0
114,M,4,12,0
114,F,4,12,0
114,M,7,8,0
114,F,6,12,1
114,M,0.6,12,1
114,F,0.5,12,1
114,F,0.5,12,1
114,F,5,12,0
114,M,3,12,0
114,M,3,12,1
114,F,8.5,9,0
114,F,16,9,1
114,F,1.2,9,1
114,F,6,9,1
108,M,9,9,1
114,M,8,12,0
114,F,9,10,0
114,M,4.56,9,0
67,M,20,12,0
114,M,3.1,12,1
89,M,3.3,12,1
114,M,4,12,1
128,F,6.5,12,1
114,F,3.5,12,1
114,F,18,14,0
72,M,2.4,10,1
114,F,10,10,1
114,F,12,10,0
114,F,1,10,0
114,F,1,10,0
114,F,1,10,0
114,F,1,10,0
114,F,7,10,0
114,M,16,10,1
122,F,30,10,1
128,F,3.8,10,1
128,M,4.5,10,0
128,F,5.2,11,1
114,M,2,11,0
114,M,9.2,11,0
114,M,9.3,11,0
114,M,11,11,0
114,F,12,11,0
114,F,10,11,0
114,F,7,11,0
114,M,7,11,0
128,M,4,11,0
114,M,5.4,11,0
114,F,5.7,11,0
114,F,5.4,11,0
114,F,10.8,11,0
114,F,2.6,11,1
114,F,16,11,0
114,F,3.7,11,0
114,F,3.4,11,0
114,M,3.6,11,0
114,M,4.4,11,0
114,F,10,11,0
113,F,2.2,11,1
128,F,4.1,11,0
114,M,2.5,11,1
114,M,5.3,11,0
114,M,11,11,0
114,F,10.2,11,0
114,F,7.3,11,0
18,M,4.2,11,1
114,F,5.8,11,0
114,M,9.3,11,0
114,M,1,11,0
114,M,1,12,1
67,M,15.66,9,0
114,F,3.85,9,0
114,F,3.84,9,0
114,F,3.82,9,0
114,M,3.82,9,0
114,F,6.54,9,0
114,M,11.36,9,0
114,F,4.76,9,0
114,Q,15,12,0
114,F,2,12,1
114,F,6,10,0
114,M,5,10,0
114,M,6,10,0
114,F,8,10,0
114,M,8,10,0
114,F,8,10,0
114,M,5,10,0
114,F,10,10,0
114,F,15,10,1
114,F,10,10,0
114,F,10,10,0
22,F,8,10,0
114,F,0.8,10,1
114,F,1,10,1
114,M,1.2,10,1
114,M,0.8,10,1
128,M,3.5,10,1
114,M,0.8,10,1
114,F,0.6,10,1
67,M,18,10,1
114,M,10,10,0
114,F,5,10,0
114,M,25,10,0
114,M,4.5,14,0
69,M,30,14,0
72,M,7,10,1
114,F,6,9,0
114,F,0.4,9,1
114,F,0.4,9,1
114,M,0.8,9,1
72,M,3,9,1
67,F,6,10,1
67,M,4,10,0
67,M,10,10,1
114,M,0.2,10,0
114,M,0.2,10,0
114,F,0.2,10,0
114,M,0.2,10,0
114,F,2,10,0
114,M,1,10,0
114,F,0.7,10,0
54,F,40,9,1
114,M,13,10,0
108,M,8.4,10,1
114,M,7,10,0
114,F,7,10,0
108,M,7,10,1
89,M,2.5,10,1
72,M,5,9,0
114,F,2,9,0
114,M,2,9,0
114,M,2,9,0
114,F,0.5,10,1
114,M,9,10,1
114,F,3,10,1
72,F,3.5,11,1
124,M,2,10,1
72,M,2.9,10,1
114,F,10.8,10,0
128,M,5,10,1
114,M,5.6,10,1
101,F,4.5,10,1
114,M,1,10,1
114,F,1,10,1
114,F,8.3,10,0
114,F,6.2,10,0
114,M,10,10,0
114,M,8.4,10,0
114,M,4,10,0
114,M,2,13,0
114,M,3.7,10,0
114,F,1,10,1
114,M,1.2,10,1
114,M,1.2,10,1
114,M,7,10,1
72,M,3,10,1
87,F,5.2,10,1
114,M,7,10,0
67,F,20,10,0
113,Q,4,10,0
114,M,2,10,1
114,F,4,10,1
72,M,1.5,10,1
114,F,20,10,0
128,M,3.5,10,1
100,F,8.5,10,1
114,M,15.2,10,0
72,F,2,10,1
114,M,1,11,0
114,M,7,11,0
114,M,7,12,1
128,M,5,10,1
114,F,10,10,0
114,M,2,10,0
114,F,6,11,1
114,M,19.3,7,0
72,M,2,12,1
89,F,4,12,1
114,F,9.6,10,0
114,M,23,10,1
114,F,4.9,10,0
114,M,15.8,10,0
114,F,0.5,10,0
114,F,0.5,10,0
114,F,13.7,10,0
114,F,14,10,0
114,F,2.7,10,0
114,F,3.2,10,0
114,F,18,10,0
114,F,6.2,10,0
114,F,6.1,10,0
114,F,7.5,10,0
114,F,6.7,10,1
114,F,6.8,10,1
114,F,3.8,10,0
114,M,3,10,1
114,M,3,10,1
114,M,20,10,1
114,M,10,10,1
114,M,3,10,1
114,F,3,10,1
114,F,3,10,1
114,F,3,10,1
114,M,3,10,1
114,M,5,10,0
114,F,10,10,1
114,M,17,10,0
114,F,5,10,1
114,F,4,10,1
128,M,6,10,1
67,M,24,10,0
114,M,5,10,0
114,F,4,10,0
114,M,3,10,0
101,F,5,10,1
114,M,11.5,10,1
89,M,3,10,1
114,F,5,10,1
114,M,1,10,1
114,M,1,10,1
114,F,3,7,0
114,F,3,7,0
114,M,3,7,0
114,F,3,7,0
114,F,6,7,0
114,M,25,9,0
89,M,4,10,0
114,M,1.3,10,1
89,M,4,9,0
114,M,15,10,0
114,M,4.62,9,0
114,M,4.58,9,0
114,F,4.58,9,0
114,F,4.57,9,0
114,F,12.66,9,0
114,M,4.68,9,0
54,M,15.82,9,1
114,M,5.58,9,0
114,M,2.5,10,0
114,F,7.4,10,0
114,F,1.8,10,0
114,M,9,10,0
96,M,28,10,0
114,M,14,10,0
114,F,6,10,0
114,M,11,10,0
128,F,4.4,10,1
114,F,1,10,1
114,F,14,10,0
114,M,1.5,10,1
114,M,1.5,10,1
114,F,1.5,10,1
89,M,5.5,10,1
114,F,16,10,0
114,M,10,10,0
72,M,4,10,1
125,F,6.5,10,1
114,M,1.6,10,1
114,F,2,10,0
114,F,7.6,10,0
32,F,1.3,10,1
100,M,4.9,10,1
114,M,9.4,10,0
89,M,3,10,1
32,M,2.7,10,1
113,M,2.8,10,0
114,M,11,10,0
114,M,7,10,0
114,M,20,10,0
114,M,5,10,1
114,F,5,10,1
114,F,2.8,10,1
128,M,5,10,1
38,F,4.3,10,1
114,M,10,7,1
114,M,5,7,1
114,M,10,10,0
114,M,6,10,0
114,M,8,10,0
114,F,4,10,0
#N/A,F,2.7,10,1
108,F,8,10,1
72,F,6,10,1
101,F,4,10,1
114,F,6,10,0
89,M,3,10,1
114,F,5,10,0
114,F,4,10,0
114,M,5,10,0
50,F,7,10,0
128,F,4,10,0
114,F,8,10,1
114,M,5,10,1
128,M,3.4,10,1
114,M,0.8,10,0
67,M,2,10,1
67,M,2,10,1
67,M,2,10,1
114,F,0.7,10,0
67,M,20,10,0
114,M,3,10,0
114,M,4,10,1
13,M,5,10,1
114,M,2,10,1
114,M,4,10,1
114,M,6,10,0
114,M,6,10,0
18,M,6.5,10,1
114,M,14.2,10,1
114,M,2.4,10,0
67,F,14.2,10,1
114,F,4.5,10,0
114,F,5,10,0
114,Q,7,10,0
128,Q,8,10,0
114,M,8,10,0
114,M,10,7,0
69,M,18,10,1
114,M,7,10,0
114,M,5,10,0
114,M,4,10,1
128,M,3,10,0
89,M,5,10,1
114,M,8.25,10,0
114,F,3.5,10,1
114,M,4,10,1
124,F,6.1,10,1
114,F,9,10,1
114,F,7.5,10,1
114,F,7,10,1
114,F,9,10,1
114,F,2,10,1
114,F,3.5,10,1
114,F,4,14,0
114,M,20,14,0
114,M,8,14,0
114,F,5.5,10,0
114,M,3.7,10,0
72,M,4.1,11,0
114,M,20,10,0
128,F,3.6,10,1
114,F,3,10,1
114,F,3,10,1
114,F,2.8,10,1
114,M,3.2,10,0
114,F,3,10,0
114,F,2,10,1
114,F,2,10,1
114,M,2.3,10,1
114,F,2.2,10,1
114,F,2,10,1
69,M,25,10,1
114,M,1,10,1
114,F,1,10,1
114,F,1,10,1
114,F,1,10,1
114,M,1,10,1
54,F,18,10,1
69,M,20,10,1
128,F,5,10,1
67,F,22,10,0
#N/A,M,11.2,10,1
67,F,7.45,10,1
39,M,22.17,10,1
114,F,2.17,10,0
32,M,2.5,10,1
114,M,3,10,1
114,M,23,10,0
128,M,6,10,1
114,Q,1.5,11,0
114,Q,1.4,11,0
114,Q,1.3,11,0
114,Q,1.5,11,0
114,Q,1.3,11,0
114,Q,1.4,11,0
54,F,13,11,1
114,M,7,10,0
114,M,3,10,0
114,M,3,10,0
114,M,7,10,0
114,M,6,10,1
114,F,8,10,0
114,F,6,10,0
114,M,9.5,10,0
114,M,5.3,10,0
101,F,5,10,1
101,M,2,10,1
101,F,3.4,10,1
101,M,4,10,1
101,F,3,10,1
101,F,3.6,10,1
101,M,5,10,1
101,F,3,10,1
101,F,5.9,10,1
101,F,2,10,1
101,M,2.8,10,1
101,F,4,10,1
101,F,3.1,10,1
101,F,1.3,10,1
101,M,3.2,10,1
101,F,5,10,1
101,M,1.9,10,1
114,F,2,10,1
114,F,2,10,1
114,F,5.5,10,0
114,M,6.8,10,0
89,F,2,10,1
114,M,11,7,0
114,F,1,10,1
114,F,2,10,1
114,M,2,10,1
54,M,30,10,1
67,M,11,10,0
114,F,18,10,0
67,F,15,10,0
32,M,4.64,10,1
114,M,2.3,10,1
114,F,2.5,10,0
18,M,4,9,1
114,M,3,11,1
114,F,4.68,9,0
114,M,7.36,9,0
114,M,7.47,9,0
114,M,7.54,9,0
84,F,15.76,9,0
114,M,20,12,0
114,F,1.9,12,1
128,F,2.1,11,1
101,M,6,11,1
114,F,6,11,0
114,M,7,10,0
114,M,4.3,10,1
114,F,4,10,1
114,F,3.7,10,1
114,M,5,10,1
114,M,5,10,1
114,M,5,10,1
114,M,5,10,1
114,F,10,10,0
114,F,6,10,0
114,F,2.5,10,0
114,F,2.5,10,0
67,M,25,10,1
114,F,17,10,1
72,M,3.2,10,1
114,M,0.8,10,1
114,M,13,10,1
114,F,15,7,0
114,F,1.35,7,1
67,M,12,10,0
114,F,11,10,1
114,M,20,10,0
114,F,10.3,10,0
114,F,10.4,10,0
67,M,19,10,0
114,M,5.9,10,0
114,Q,6.5,10,0
72,M,4,10,1
12,M,28,10,1
114,F,7,10,0
113,F,3.6,10,1
72,F,2,10,1
114,M,15,10,0
128,F,1,10,1
125,F,12.5,10,0
114,M,2.7,10,0
7,F,13.4,10,1
114,F,12.84,9,0
114,F,4.56,9,0
114,F,8.78,9,0
114,F,3.2,9,0
67,M,9,9,0
67,M,9,9,0
67,F,8.7,9,0
67,F,17,9,0
67,M,9.8,9,0
67,F,10.2,9,0
114,F,3,9,1
114,F,6.4,9,1
114,F,6.2,9,1
114,F,5.9,9,1
114,M,7.8,10,0
114,M,6.9,10,1
114,F,1.5,9,1
69,F,15,9,1
114,M,20,9,0
67,F,15,9,0
114,F,5,10,0
89,M,3,10,1
114,F,12,10,0
114,M,10,10,1
114,F,12,10,1
114,F,2,10,1
114,F,2,10,1
114,F,2,10,1
114,F,2,10,1
114,F,2,10,1
113,M,2.8,10,1
22,F,1.76,10,1
114,M,30,10,0
114,F,2.7,10,1
72,M,3,10,1
89,M,3.7,10,1
114,F,13,14,0
114,F,4,10,0
114,M,4,10,0
114,M,1,10,0
114,F,5,10,0
114,M,7,10,1
69,M,18,10,1
114,F,6,10,0
114,M,7,10,0
114,F,3,10,0
114,F,6,10,0
114,F,4,10,1
114,F,5.6,10,0
114,M,6.3,10,0
114,F,4.7,10,0
114,F,16.7,10,0
114,M,4,10,0
114,M,28.4,10,0
114,M,7.7,10,1
114,F,5.9,10,1
114,F,14,10,1
96,F,15.4,10,1
96,M,17,10,1
114,M,2.5,10,0
114,M,13.2,10,0
114,M,6,10,0
114,F,16,10,0
114,F,16,10,0
114,F,10,10,0
114,M,25,10,1
69,M,27,10,1
114,M,2,15,0
114,F,4,11,0
114,F,2,11,0
114,M,2,11,0
114,F,7,11,0
114,M,17,11,0
114,F,1.4,10,1
67,M,19,10,1
67,F,25,10,1
128,M,6.5,10,1
114,M,12,10,0
114,M,6,10,0
114,M,10,10,0
114,F,7.1,10,0
128,F,5.94,10,0
114,M,3.1,10,0
32,F,4.42,10,0
114,M,4,10,0
89,F,5.7,10,1
89,F,3.8,10,1
72,F,4.1,10,1
114,M,7,7,1
114,F,2.8,10,1
114,F,3.5,10,0
114,F,3.5,10,0
67,M,22,9,1
67,F,7,9,0
72,M,4.2,10,0
114,F,0.45,10,0
114,M,0.5,10,0
114,M,0.5,10,1
114,F,3,10,0
114,F,4,10,1
114,F,2,10,1
72,M,2.2,10,1
114,M,12,10,0
114,M,15,10,0
69,F,25,10,0
114,F,9.93,9,0
114,M,7.72,9,0
114,F,6.88,9,0
114,M,7.65,9,0
160,M,26,10,1
114,M,2.9,10,0
114,F,9,10,0
114,F,3.8,10,0
114,F,4.1,10,0
72,F,2.8,10,1
114,M,10,10,0
124,F,8,10,1
32,F,4,10,0
72,M,3,10,0
114,M,1.3,10,0
114,F,1.2,10,0
113,M,4,10,0
89,F,4,10,0
128,M,8,10,1
114,F,4.5,10,0
114,F,4.8,10,0
124,M,10,10,0
114,F,5.4,10,0
114,M,5.3,10,1
118,M,60,10,1
114,M,7,10,1
114,M,4,10,0
114,F,4.8,10,0
114,F,7,10,0
114,F,1,7,1
114,F,3,10,0
114,F,3,10,0
114,M,3,10,0
114,F,3,10,0
114,F,8,10,0
114,F,6,10,1
114,F,10,10,0
114,M,15,10,0
114,F,15,10,0
114,F,15,10,0
114,M,5,10,0
114,M,7,10,0
114,F,7,10,0
114,M,15,10,0
89,M,3.9,10,1
114,M,6,10,0
114,M,1,10,0
114,F,1,10,0
114,F,6,10,0
89,F,7,10,0
114,F,20,10,0
114,M,0.85,10,1
114,F,0.9,10,1
128,M,3.3,10,0
114,F,0.7,10,1
114,M,0.5,10,1
114,M,0.8,10,1
114,F,2,10,1
114,F,4,10,1
114,M,20,10,0
114,M,6.2,7,0
114,F,5,10,1
114,F,10,10,0
114,F,0.5,10,1
114,F,7,10,0
114,F,6,10,0
67,M,6,10,0
101,M,3,10,0
114,M,4,10,0
67,M,18,10,0
114,F,7.22,10,0
114,M,1,10,1
114,Q,7,10,0
114,Q,5,10,0
